,tweet_id,tweet_text
39,1388505330447912961,Do you think he didn’t warn them? “And God did not spare the ancient world—except for Noah and the seven others in his family. Noah warned the world of God’s righteous judgment. So God protected Noah when he destroyed the world of ungodly people with a vast flood.” 2 Peter 2:5
40,1388505319488229377,Tremendous student also if coaches want to see that transcript
41,1388505245358116866,"Ahem, it's *actually* a Flood Alleviation Scheme and the quarry is totally a byproduct thankyouverymuch. Keen to hear what you found, btw, ahead of that planning app... Nunn's bridge repairs in progress, at ECC speed. Plenty (unofficial) paths to bypass it in the mean time."
42,1388505111991885831,"Lol,, we see you Minister!!! TheGovernment Super links!! Flood the market with the best PerfectAtchar"
43,1388505093868199942,He brought a flood to the dinosaurs so they would become fish
44,1388505082174525450,Oga Reno where did the flood washed everyone to? Kindly serve as my bible and google this afternoon Sir. Others may also learn.
45,1388505044144754692,We need a tsunami of truth to flood out the communists!
46,1388505027640184832,Mhmmm Let the flood begin!
47,1388505005037064192,"NWS Fort Worth TX issued a Flood Warning for Jack, TX. Expiring at 03:45 AM (Local)"
48,1388504993045663747,"A flash in the pan, Flash Gordon, Grandmaster Flash, back in a flash, a flash flood, hot flashes, flashback, flash forward...soliciting other possibilities for flash puns. Why? It's Saturday. microfiction flashfiction shortstory"
49,1388504960439132162,"NWS Fort Worth TX issued a Flood Warning for Ellis, TX; Navarro, TX. Expiring at 03:45 AM (Local)"
50,1388504921989918726,I didn't know there already was Amur Amur hardware
51,1388504914834362373,"NWS Fort Worth TX issued a Flood Warning for Henderson, TX; Navarro, TX. Expiring at 03:45 AM (Local)"
52,1388504912208740352,"Hang on San Antonio, the rain will stop at some point. Obviously no classes this weekend, we’ll be back next week. crazyweather rain rainraingoaway golf flooded alotofrain golflesson golfinstructor classes golfclasses instagolf funny jetski flood neighborhood"
53,1388504785821650948,"“In the present day, where we are overwhelmed by floods of misinformation and conspiracy theories, it is more important than ever to have the skills to look critically at the evidence and to distinguish fact from fiction.” THIS is why the study of /thread"
54,1388504769128448000,"Oh shit! Ok, and while we at it, let’s also discuss where Noah may have landed when the flood vanished"
55,1388504754205065222,"USGS08162600 - Tres Palacios Rv nr Midfield, TX Height: 25.58ft ▲ (24ft) Flow: 2980cfs"
56,1388504752443379719,"USGS08117500 - San Bernard Rv nr Boling, TX Height: 19.22ft ▲ (18ft) Flow: 3810cfs"
57,1388504749733937152,"USGS08038000 - Attoyac Bayou nr Chireno, TX Height: 19.35ft ▼ (14ft) Flow: 7780cfs"
58,1388504622105391107,Christians flood Jerusalem's Holy Sepulchre for Holy Fire ceremony
59,1388504555961339907,Just flood the markets with what they are jerking up it’s prices and see how the price will fall. Humans are generally greedy and naturally takes advantage of situations.
60,1388504545987284999,How To Flood Your Website With Targeted Traffic And Build A Big List Of Ready-To-Buy Leads=>
61,1388504527721013250,We’ll flood your timeline again on May 4th! 💛
62,1388504526945243140,Hit the ground a little hard as the engine was eating helium from the pressurization system.
63,1388504425614954499,Opinion: Failure in leadership led to Nashville's Great Flood and continued flooding after - Murfreesboro Voice
64,1388504408099631109,Beautiful pictures Sarah !!!
65,1388504404974718978,Pls flood my notifs I want colours
66,1388504377166553091,A windy weekend has prompted the local conservation authority to issue a flood watch for the Lake Erie shoreline in Chatham-Kent ckont
67,1388504341665959936,Bicester is on fire with a Wood Sandpiper on the Graven Hill flood now! Joining the Garganey pair and 3 LRP on site.
68,1388504306509393921,"'It's going to be crazy:' As in-person visits return, college football coaches ready for flood of recruits via"
69,1388504286116515848,"I love your cock, and balls! Gag me, and flood my mouth!"
70,1388504261307289607,"And that 25% should go to minimum wage salaries, and a special emergency fun for things like floods or fire."
71,1388504223826984965,This is why we need to invest in flood control and drainage projects txwater txlege
72,1388504209092489219,"i completely agree with Professor Richard Evans here: “In the present day, where we are overwhelmed by floods of misinformation and conspiracy theories, it is more important than ever to have the skills to look critically at the evidence and to distinguish fact from fiction,”"
73,1388504199575400456,We have released our report on the squall month of April! Check it out at Singapore Malaysia Batam Jambi Indonesia Singkep Weather Wind Rain Sumatra BMKG Flood
74,1388504197016948745,"FWD extends time of Flood Warning for West Fork Trinity River near Jacksboro [TX] till May 2, 7:00 AM CDT"
75,1388504196941434881,"FWD extends time of Flood Warning for West Fork Trinity River near Jacksboro [TX] till May 2, 7:00 AM CDT"
76,1388504196891041795,"FWD extends time of Flood Warning for West Fork Trinity River near Jacksboro [TX] till May 2, 7:00 AM CDT"
77,1388504196844900353,"FWD extends time of Flood Warning for West Fork Trinity River near Jacksboro [TX] till May 2, 7:00 AM CDT"
78,1388504196815613956,"FWD extends time of Flood Warning for West Fork Trinity River near Jacksboro [TX] till May 2, 7:00 AM CDT"
79,1388504196798840833,"FWD extends time of Flood Warning for West Fork Trinity River near Jacksboro [TX] till May 2, 7:00 AM CDT"
80,1388504179308580864,"FWD extends time of Flood Warning for Trinity River at Trinidad [TX] till May 4, 7:00 PM CDT"
81,1388504179262455811,"FWD extends time of Flood Warning for Trinity River at Trinidad [TX] till May 4, 7:00 PM CDT"
82,1388504179228889089,"FWD extends time of Flood Warning for Trinity River at Trinidad [TX] till May 4, 7:00 PM CDT"
83,1388504178931109894,"FWD extends time of Flood Warning for Trinity River at Trinidad [TX] till May 4, 7:00 PM CDT"
84,1388504174027886600,"FWD extends time of Flood Warning for Trinity River at Trinidad [TX] till May 4, 7:00 PM CDT"
85,1388504173788884995,"FWD extends time of Flood Warning for Chambers Creek near Rice [TX] till May 2, 1:54 PM CDT"
86,1388504173562327051,"FWD extends time of Flood Warning for Chambers Creek near Rice [TX] till May 2, 1:54 PM CDT"
87,1388504173335891975,"FWD extends time of Flood Warning for Chambers Creek near Rice [TX] till May 2, 1:54 PM CDT"
88,1388504173289738245,"FWD extends time of Flood Warning for Trinity River at Trinidad [TX] till May 4, 7:00 PM CDT"
89,1388504173176520705,"FWD extends time of Flood Warning for Chambers Creek near Rice [TX] till May 2, 1:54 PM CDT"
90,1388504173096804356,"FWD extends time of Flood Warning for Chambers Creek near Rice [TX] till May 2, 1:54 PM CDT"
91,1388504173096800261,"FWD extends time of Flood Warning for Chambers Creek near Rice [TX] till May 2, 1:54 PM CDT"
92,1388504081874833409,FUCK FUCK FUCK FUCK I FORGOT ABOUT THE EBG ON MONDAY I NEED TO FLOOD JUNHUI CONTENT RN
93,1388504068952264704,"Me! I love every inch of your cock, balls, ass, and hole! Flood my mouth with your hot, thick, creamy cum!"
94,1388504038166212610,"I knowww! I was down there for a spell in the early 90s, and for a farewell event at Duke they did just that. I was in FLOODS of tears... 😅"
95,1388503997598748685,Delayed census data kicks off flood of redistricting lawsuits - POLITICO
96,1388503981962432512,"The Ozarks is beautiful countryside. Below the plateau is flat, rice and cotton fields that flood. The people are poor in both places. More churches than liquor stores, if you know what I mean."
97,1388503973917822977,No regularly!!! We flood and have hurricanes. We below sea level 😭😭😭
98,1388503970998521862,Flood👇🏻
99,1388503899083059204,"I will be honest, what San Antonio considers a flash flood is hilarious"
100,1388503894066597891,Happy Caturday to you April.
