,tweet_id,tweet_text
14,1392846591346708480,"Nashik NASHIK Oxygen Beds Available Name: City Care Hospital and Research Center Contact No.: 02532505772 Location: Nasardi Bridge, Near Nashik - Pune Rd, Dwarka, Nashik Last Verified at 7:25 PM at 13/05/2021 Covid19IndiaHelp CovidResource CovidHelp"
15,1392846536023891973,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 RANCHI Free Oxygen cylinder Available (Home Delivery) Contact: 7654947547 Location: Ranchi Verified at: 13/05/2021, 7:29 PM Covid19IndiaHelp"
16,1392846453014335497,"Patient Name - Michael Raj Gender - Male Age - 50 *Need Oxygen cylinder immediately. Currently admitted in NRI Hospital, Guntur 🙏 Covid19IndiaHelp COVIDEmergency2021"
17,1392846406302326786,Thank you ELONONE ❤️❤️. You guys are awesome❤️ CovidRelief Covid19IndiaHelp ❤️
18,1392846346458042370,"Hello DELHI people Oxygen Beds available around 7 Pm in Max Hospital, Delhi Ph. 8434571619 (Call only for patients) Verified by someone at 6:59pm, May 13 Covid19IndiaHelp BedsAvailability COVIDEmergency"
19,1392846244209315844,"Stay home, stay safe and we're here to bring you the most authentic, verified information about COVID-19. 🏠 So, do share our posts and visit us at for more. Covid19IndiaHelp"
20,1392846223220957188,"✅𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 PATNA Oxygen Refilling Available Contact: 7979064820 Location: Kankarbagh, Patna, Bihar Verified at: 13/05/2021, 7:29 PM Covid19IndiaHelp BiharFightsCorona"
21,1392846219425193988,AMBULANCE WITH OXYGEN AVAILABLE. Location :- Haridwar Rana Ambulance Contact:- 9568611800 Verified by Mohit Gupta on 13/05/21 Covid19IndiaHelp haridwar Ambulance Oxygen COVID19
22,1392845995226976257,Great work NiharikaReddy garu 👏👏 Covid19IndiaHelp COVID19India
23,1392845843934457859,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 PATNA Oxygen Refilling Available Contact: 9934716122 Location: Patna, Bihar Verified at: 13/05/2021, 7:23 PM Covid19IndiaHelp"
24,1392845672156524554,"✅𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 RANCHI Free Oxygen cylinder service from tomorrow 11AM Contact No. : - 9835400828 Location: Co-operative Colony, Ranchi, Jharkhand Verified at: 13/05/2021, 7:25 PM Covid19IndiaHelp"
25,1392845224603361282,For plasma in Delhi: DELHI GOVERNMENT HELPLINE: 1031 WHATSAPP : 8800007722 ILBS : Institute of Liver & Bilary Sciences - REQUEST PLASMA - COVID HELPLINE : 011-46300000 WHATSAPP HELPLINE : 8448884344 Plasma Covid19IndiaHelp
26,1392845124485275651,"*Patna Update* Ambulance with Oxygen Name: MEDIVIC PHARMA Contact: 9955990333 Verified by someone at: 13 May, 3:43 PM Covid19IndiaHelp"
27,1392845099965485056,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 NASHIK Oxygen Beds Available Name: City Care Hospital and Research Center Contact No.: 02532505772 Location: Nasardi Bridge, Near Nashik - Pune Rd, Dwarka, Nashik Last Verified at 7:25pm 13/5/21 Covid19IndiaHelp"
28,1392844707537977351,Any leads for ECMO beds in Delhi? Patient is critical. COVIDEmergency CovidHelp CovidDelhi Covid19IndiaHelp VentilatorBed DelhiFightsCorona Delhi
29,1392844626524999683,AskKTR One bed pls sir in yashodha hospital Very critical Covid19IndiaHelp
30,1392844598813151232,Need these tablets in Hyderabad. Leads plss.. COVIDEmergency2021 CovidHelpHyderabad COVID19 Covid19IndiaHelp CoronaSecondWave
31,1392844579745853441,Centre channels foreign aid to States/UTs Covid19IndiaHelp Covid19India
32,1392844032686968842,Requirement of Plasma O+ve in Hyderabad. Covid19Hyderabad Covid19IndiaHelp COVIDEmergencyIndia CovidSOSIndia IndiaFightsCOVID19
33,1392843883759816704,You rock Thank you so much for your support! Covid19IndiaHelp FarmersProtest = HumanRights
34,1392843823244529667,✅🏥🛌Verified bed availability in Varanasi updated on 13/05/21 at 06:30PM VaranasiFightsCorona Banaras. Kashi Covid19IndiaHelp 🙏🔁
35,1392843732857282562,SUSHILA HOSPITAL DELHI 9811494085 2 OXYGEN BEDS 13 MAY 12:33pm verified Covid19IndiaHelp BedsAvailability Oxygen Noida DelhiFightsCorona CovidResources
36,1392843533103546371,SUBHARTI HOSPITAL DEHRADUN 7617585580 10 OXYGEN BEDS AVAILABLE 13 MAY 1:16pm verified COVIDSecondWaveInIndia Covid19IndiaHelp OxygenBeds CovidResources DEHRADUN
37,1392843439469785091,Thank you May you always be blessed and in Chardi Kala! Covid19IndiaHelp FarmersProtest = HumanRights
38,1392843187182444552,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 LUCKNOW Free auto ambulance services available. (With oxygen) Contact : 9956899866 Location : Lucknow, Uttar Pradesh Verified at 3:27pm on 13/05/21 UPFightsCorona Covid19IndiaHelp Lucknow CoviBuddy"
39,1392842982462689284,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 CHENNAI Oxygen Beds Available (SPO2 above 90) Contact: 9884047779 Location: Thiruvottiyur High Road Kasipuram, Tondiarpret, Chennai Last Verified 13/05/21, 06:58PM Covid19IndiaHelp Chennai CoviBuddy"
40,1392842697367375881,Chennai Covid Guide Click on the link to check out the Covid-19 Support resources - 👇 COVID19India Chennai InThisTogether SidharthMalhotra IndiaFightsCorona Verified COVID19IndiaHelp COVIDEmergencyIndia COVIDIndiaSOS
41,1392842312649101329,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 KOLKATA Oxygen Cylinder & Refilling Available Contact: 9836958081 Location: Baranagar Prescription Required Last Verified 13/5/21, 06:45PM Covid19IndiaHelp Kolkata CoviBuddy"
42,1392842241308205062,"Observation : Just one month ago, twitter timeline flooded with SOS request and various help by great soul even in odd hour. But, it doesn't mean 2nd wave over....because rural India is not on Twitter...This too shall pass. Covid19IndiaHelp"
43,1392842225986330634,❇️ * Any proof of residence sufficient for any person to get vaccinated in the State: UP Govt. * 🙏🏻 COVID19 Covid19IndiaHelp COVID19Vaccination 👍🏻Back my campaign
44,1392842150337941504,"✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 KOLKATA Oxygen / Ventilator beds Available (SPO2 >85) Name - Arijit Basu Contact - 9836949959 Area - Newtown , Kolkata, West Bengal Last verified at 6:53 pm, 13-5-21 WBFightsCorona Covid19IndiaHelp Kolkata CoviBuddy"
45,1392841885937455109,"CoviBuddy BedsAvailability Ahmedabad ✅ 𝐕𝐞𝐫𝐢𝐟𝐢𝐞𝐝 AHMEDABAD Oxygen Beds Available Name: Devasya Hospital Phone: 9824012582 Location: Bopal, Ahmedabad, Gujarat Last Verified 13/5/21, 5:40 PM Covid19IndiaHelp Ahmedabad"
46,1392841652092342280,Unite2FightCorona COVIDSecondWaveInIndia Wear your mask 😷 always & wear it properly. Covid19IndiaHelp COVIDEmergency
47,1392841352455409666,TOCILIZUMAB 400MG Is it available Covishield Covid19IndiaHelp COVIDEmergency 9632136125
48,1392841172058402816,Thanks for the post oxygendelhi Are you in delhi delhite looking for Oxygen OxygenCylinders Here is the verified lead for you. Use it and time permits pls give feedback to help other needy. COVID19 covidhelpbabul OxygenCrisis medicaloxygen Covid19IndiaHelp
49,1392841097320099853,Need 15 LTRS OXYGEN..ASAP.. Infection is spreading pls help to find the Oxygen in vijayawada Patient in govt hospital vijayawada.. Numbers: 77308 11222 or 7981513008 CONDITION IS VERY CRITICAL vijayawada Covid19IndiaHelp
50,1392840898535329799,"Empty OxygenCylinders available Shivani 9917544000 Location - Moradabad, UttarPradesh Verified at 7:23 pm, 13 May DM For more resources CovidHelp UPFightsCorona Covid19IndiaHelp"
